text,zone,label
"Einbruch in Mehrfamilienhaus – Solln Bereits am Freitag, 22.12.2023, wurde im Zeitraum zwischen 17:30 und 23:00 Uhr, durch einen oder mehrere bislang unbekannte Täter in eine Wohnung in einem Mehrfamilienhaus eingebrochen. Dies teilte ein Bewohner, der dies nach seinem nach Hause kommen festgestellt hatte, über den Polizeinotruf 110 mit. Nach ersten Ermittlungen drangen der oder die unbekannten Täter gewaltsam durch ein Fenster in die Wohnung ein. Es wurden Bargeld und Wertgegenstände im Wert von mehreren zehntausend Euro entwendet. Anschließend flüchteten der oder die Täter unerkannt in unbekannte Richtung. Die weiteren Ermittlungen in diesem Fall führt das Kommissariat 53 (Einbruchsdelikte) der Münchner Kriminalpolizei. Zeugenaufruf: Wer hat im oben genannten Zeitraum im Bereich der Rungestraße, Alpspitzstraße und Wolfratshauser Straße (Solln) Wahrnehmungen gemacht, die im Zusammenhang mit diesem Vorfall stehen könnten? Personen, die sachdienliche Hinweise geben können, werden gebeten, sich mit dem Polizeipräsidium München, Kommissariat 53, Tel. 089/2910-0, oder jeder anderen Polizeidienststelle in Verbindung zu setzen 31. Festnahme eines Jugendlichen nach gezielter Einwirkung auf Zeugen in einer Raubsache – Fürstenried Wie bereits berichtet, kam es zum Jahresende 2022 und dem Jahresbeginn 2023 zu einer Häufung von Raubstraftaten rund um den Pasinger Bahnhof. In diesem Zusammenhang wird derzeit auch eine Raubtat vom Montag, 02.01.2023, verhandelt. Am Donnerstag, 21.12.2023, machte ein 19-Jähriger mit Wohnsitz in München vor Gericht umfangreiche Aussagen gegen einen 21-jährigen Angeklagten mit Wohnsitz in München. Am Dienstag, 02.01.2024, gegen 22:45 Uhr, wurde der 19-Jährige von dem 18-jährigen Bruder des Angeklagten in Begleitung eines 15-Jährigen mit Wohnsitz in München am U-Bahnhof Fürstenried West abgepasst und mehrfach von dem 18-Jährigen mit der Faust ins Gesicht geschlagen. Zudem drohte der 18-Jährige dem 19-Jährigen, dass man ihn abstechen und töten könne, sofern er weiter Freunde „verraten“ würde. Er wurde hierbei auch konkret auf sein Aussageverhalten vor Gericht angesprochen. Der Vorfall wurde durch den 19-Jährigen am Mittwoch, 03.01.2024, angezeigt und das Kommissariat 21 (Raubdelikte) unmittelbar über den Sachverhalt informiert. Die Staatsanwaltschaft München I beantragte beim zuständigen Amtsrichter am Folgetag einen Haftbefehl unter anderem wegen dem gezielten Einwirken auf einen Zeugen gegen den 18-Jährigen. Dieser wurde am Freitagvormittag, 05.01.2024, vollzogen. 32. Räuberische Erpressung – Nymphenburg Am Donnerstag, 04.01.2024, gegen 16:30 Uhr, war eine 16-Jährige mit Wohnsitz in München von der U-Bahn zu Fuß auf der Braganzastraße in Nymphenburg unterwegs. Der 16-Jährigen trat ein unbekannter Mann entgegen, der sie sofort nach Geld ansprach. Er forderte aggressiv Kleingeld von ihr und drohte sie bei nicht Herausgabe zusammenzuschlagen. Die 16-Jährige flüchtete sofort. Der unbekannte Täter verfolgte sie nicht. Zusammen mit einem Elternteil erstattete die 16-Jährige Anzeige bei der Polizei. Das Kommissariat 21 (Raubdelikte) hat die weiteren Ermittlungen übernommen. Der Täter wird wie folgt beschrieben: Männlich, ca. 25 Jahre alt, ca. 1, 90 m groß, sehr schlank, dunkelhäutig, bekleidet mit schwarzer Bomberjacke mit Kapuze, roter Cargo Hose, Sneaker, trug einen rot-beige-karierter Schlauchschal als Mund- und Nasenbedeckung Zeugenaufruf: Wer hat im angegebenen Zeitraum im Bereich der Braganzastraße Wahrnehmungen gemacht, die im Zusammenhang mit diesem Vorfall stehen könnten? Personen, die sachdienliche Hinweise geben können, werden gebeten, sich mit dem Polizeipräsidium München, Kommissariat 21, Tel. 089/2910-0, oder jeder anderen Polizeidienststelle in Verbindung zu setzen. 33. Schockanruf; zwei Tatverdächtige festgenommen – Neuhausen Am Donnerstag, 04.01.2024, gegen 14:30 Uhr, informierte eine aufmerksame Mitarbeiterin einer Bankfiliale in der Nymphenburger Straße den Polizeinotruf 110, wie soeben eine über 80-jährige Kundin mit Wohnsitz in München einen größeren Geldbetrag bei ihr abzuheben versuchte. Nachdem in den vergangenen Wochen bereits mehrere tausend Euro von der über 80-Jährigen abgehoben worden waren, bat sie jetzt erneut um die Auszahlung von weiteren 5000 Euro, um eine schwangere Frau finanziell unterstützen zu können, deren Kindsvater sich in Serbien im Krankenhaus befindet. Die Bankmitarbeitern wurde misstrauisch und verständigte daraufhin die Polizei über den Notruf 110. Zivile Polizeibeamte konnten in der Nymphenburger Straße eine 26-jährige, schwangere Frau mit Wohnsitz in Niedersachsen feststellen, die bereits polizeilich wegen gleich gelagerter Delikte in Erscheinung getreten war. Bei einer körperlichen Durchsuchung der 26-jährigen konnte eine Goldmünze und Schmuck aufgefunden werden. Die Wertgegenstände entstammten dem rechtmäßigen Besitz der über 80-Jährigen. Im Rahmen der Anzeigenbearbeitung aufgrund gewerbsmäßigem Trickbetrug, konnte ein zweiter Tatverdächtiger, ein 23-jähriger Mann mit Wohnsitz in München ermittelt und vorläufig festgenommen werden. Die über 80-Jährige blieb unverletzt. Durch das wiederholte Vortäuschen von Notsituationen entstand ihr über einen Zeitraum von mehreren Wochen ein Vermögensschaden von mehreren zehntausend Euro. Beide Tatverdächtige wurden nach Beendigung der polizeilichen Maßnahmen entlassen. Die Ermittlungen beim Kommissariat 61 dauern an. 34. Sachbeschädigung durch Graffiti – Lochham Am Mittwoch, 03.01.2024, beobachtete ein 41-jähriger Mann mit Wohnsitz im Landkreis München, einen 21-Jährigen mit Wohnsitz in München beim farblichen Besprühen der Schallschutzmauer an der A96, Abschnitt Maria-Eich-Straße. Der 41-Jährige verständigte die Polizei über den Notruf 110. Eine Streife der Polizeiinspektion 45 (Pasing) konnte den 21-Jährigen auf frischer Tat antreffen und vorläufig festnehmen. Im Rahmen einer richterlich angeordneten Wohnungsdurchsuchung konnten unter anderem zwei Blackbooks und diverse Einzelzeichnungen von Tags, sowie mehrere Spraydosen als Beweismittel sichergestellt werden. Der 21-Jährige wurde nach Beendigung der polizeilichen Maßnahmen von seinem Wohnort aus entlassen. Das Kommissariat 23 führt die abschließenden Ermittlungen.",19,2
"Größerer Polizeieinsatz aufgrund verdächtiger Wahrnehmung – Maxvorstadt Am Dienstag, 03.01.2023, gegen 21:00 Uhr, meldete sich ein Anwohner der Schellingstraße in der Maxvorstadt bei der Polizei und gab an, soeben eine laute Explosion mit Scherbenklirren gehört zu haben. Vor Ort konnten die eingesetzten Streifen im Hinterhof eines dortigen Anwesens, ein separates, leerstehendes einstöckiges Haus, feststellen bei welchem augenscheinlich alle Glasscheiben der Hausseite beschädigt waren. Um eine Gefahrenlage für die umliegenden Anwohner auszuschließen, wurden die Feuerwehr München und die Gaswache der Landeshauptstadt hinzugerufen. Diese konnten nach durchgeführten Messungen, keine Feststellungen einer Explosion oder Verpuffung verifizieren. Eine weitere Gefährdung der Anwohner wurde seitens der Feuerwehr als auch der Gaswache ausgeschlossen. Es konnte zudem eine Umsetzung oder Lagerung von explosiven Stoffen ausgeschlossen werden. Die Schellingstraße war zwischen Barer Straße und Türkenstraße für circa eineinhalb Stunden für den Verkehr in beide Fahrtrichtungen gesperrt. Die weiteren Ermittlungen in diesem Fall führt das Kommissariat 13 (Branddelikte).",3,3
"Verkehrsunfall eines Pkws nach Ausweichen; eine Person leicht verletzt – Freimann Am Mittwoch, 04.01.2023, gegen 00:10 Uhr, fuhr ein 18-Jähriger aus München mit einem Pkw Opel auf der Maria-Probst-Straße in Richtung Heidemannstraße. Auf Höhe der Hausnummer 49 querte, von rechts aus dem angrenzenden Park kommend, ein Hund die Fahrbahn. Nach ersten Erkenntnissen lief dieser zu einer unbekannten Person, die sich joggend auf dem Gehweg der Maria-Probst-Straße befand. Der 18-Jährige wich dem querenden Hund nach rechts aus und kam dadurch von der Fahrbahn ab. Im weiteren Verlauf prallte der Pkw des 18-Jährigen zunächst gegen ein Verkehrszeichen, dann gegen einen Baum und kam in der dortigen Parkanlage zum Stehen. Der Hundehalter entfernte sich, trotz des Unfalls, von der Unfallstelle, ohne seinen gesetzlichen Pflichten als Unfallbeteiligter nachzukommen. Durch den Zusammenstoß wurde der 18-Jährige leicht verletzt und musste mit dem hinzugerufenen Rettungsdienst in ein Krankenhaus verbracht werden. Der Pkw wurde durch den Aufprall schwer beschädigt, das Verkehrszeichen zerstört und der Baum ebenfalls leicht beschädigt. Der Gesamtschaden beträgt mehrere tausend Euro. Die Verkehrspolizei München führt die weiteren Ermittlungen zu diesem Fall. Zeugenaufruf: Personen, die sachdienliche Hinweise zum Unfallhergang machen können, werden gebeten, sich mit dem Unfallkommando, Tegernseer Landstraße 210, 81549 München, Tel.: 089/6216-3322, in Verbindung zu setzen.",5,1
"Raubdelikt – Laim Am Samstag, 31.12.2022, gegen 05:00 Uhr, traf ein 24-Jähriger mit Wohnsitz im Landkreis Dachau im Umfeld des Hauptbahnhofes auf drei weitere Personen (2x männlich, 1 x weiblich) mit denen der 24-Jährige zunächst beisammenstand und trank. Im Laufe des weiteren Tages wurde der 24-Jährige eingeladen mit in die Wohnung einer der drei Personen zu kommen, weshalb sie zusammen mit der Straßenbahn Richtung Laim fuhren. Dort angekommen wurde der 24-Jährige im Bereich eines Fußweges in der Nähe der Zschokkestraße durch seine Begleiter körperlich angegriffen und zu Boden gebracht. Im weiteren Verlauf fixierten sie ihn dort und durchsuchten ihn nach Bargeld und weiteren Wertsachen. Hierbei wurden dem 24-Jährigen sowohl sein Mobiltelefon als auch Bargeld im Wert von mehreren hundert Euro entwendet. Daraufhin wurde der 24-Jährige losgelassen. Er konnte sich in einen anfahrenden Linienbus flüchten und auf sich aufmerksam machen. Daraufhin wurde die Polizei verständigt. Eine sofort eingeleitete Fahndung im nahen Umfeld durch mehr als zehn Streifen führte zum Aufgriff einer 20-Jährigen aus Ungarn, die zu den drei Begleitern gehörte und vor Ort festgenommen wurde. Bei ihr fanden die Beamten zudem das zuvor entwendete Mobiltelefon des 24-Jährigen. Nach Beendigung der Anzeigenaufnahme wurde die 20-Jährige der Haftanstalt des Polizeipräsidiums München überstellt. Im Verlauf des Sonntags, 01.01.2023 konnte die 20-Jährige einem Richter vorgeführt werden, der Haftbefehl erließ. Das Kommissariat 21 (Raubdelikte) hat die weiteren Ermittlungen übernommen.",25,3
"Einbruch in Geschäft – Altstadt Am Mittwoch, 27.12.2023, gegen 23:00 Uhr, drang ein bislang unbekannter Täter gewaltsam durch die Eingangstüre in ein Bekleidungsgeschäft im Untergeschoss der Stachus-Passage ein. Der unbekannte Täter entwendete Schuhe und Bekleidung im Wert von mehreren tausend Euro. Anschließend flüchtete der unbekannte Täter über den Haupteingang in Richtung U-Bahn. Die weiteren Ermittlungen in diesem Fall führt das Kommissariat 52 (Einbruchsdelikte) der Münchner Kriminalpolizei. Der Täter wird wie folgt beschrieben: Männlich, kräftige Statur, Parka, schwarze Trainingshose mit weißen Streifen, Brille, führte eine rote und eine weiße Tüte mit sich Zeugenaufruf: Wer hat im angegebenen Zeitraum im Bereich Karlsplatz, Stachus-Passage, U-Bahnhof Karlsplatz (Altstadt) Wahrnehmungen gemacht, die im Zusammenhang mit diesem Vorfall stehen könnten? Personen, die sachdienliche Hinweise geben können, werden gebeten, sich mit dem Polizeipräsidium München, Kommissariat 52, Tel. 089/2910-0, oder jeder anderen Polizeidienststelle in Verbindung zu setzen.",1,2
"Versuchter Taschendiebstahl; ein Tatverdächtiger festgenommen – Maxvorstadt Am Mittwoch, 27.12.2023, gegen 20:00 Uhr, konnte eine Streife der Polizeiinspektion 13 (Schwabing) einen 18-jährigen Tunesier, ohne festen Wohnsitz in Deutschland, dabei beobachten, wie er vor einer Gaststätte in der Augustenstraße einen 44-Jährigen mit Wohnsitz in München ansprach und unvermittelt „antanzte“. Dabei suchte der 18-Jährige gezielt Körperkontakt, indem er sein Bein um das Bein des 44-Jährigen legte. Währenddessen versuchte der 18-Jährige ihm in die Jacken- und Hosentaschen zu greifen. Als der 18-Jährige die Polizeibeamten erkannte, flüchtete er, konnte allerdings mehrere hundert Meter entfernt von den Beamten gestellt und festgenommen werden. Der 18-Jährige führte keine Ausweisdokumente mit sich und verweigerte die Preisgabe seiner Identität gegenüber den Polizeibeamten. Im Rahmen der polizeilichen Sachbearbeitung konnte die Identität mittlerweile festgestellt werden. Aufgrund eines bereits bestehenden Haftbefehls wurde er einer Justizvollzugsanstalt überstellt. Gegen ihn wurde ein Ermittlungsverfahren wegen versuchtem Taschendiebstahl eingeleitet. Die Ermittlungen in diesem Fall führt das Kommissariat 55 (Taschendiebstahl) der Münchner Kriminalpolizei.",3,2
"Sachbeschädigung durch Pyrotechnik – Maxvorstadt Am Mittwoch, 27.12.2023, gegen 19:45 Uhr, erhielt die Polizei die Mitteilung von einer Passantin, dass soeben zwei Personen einen Parkscheinautomaten in der Theresienstraße beschädigen würden. Umgehend wurden mehrere Streifen zur Einsatzörtlichkeit geschickt. Die bislang unbekannten Täter haben einen pyrotechnischen Gegenstand in eine Öffnung des Automaten eingeführt und angezündet. Durch die Umsetzung der Pyrotechnik wurde der Automat total beschädigt. Nach der Tat flüchteten die beiden unbekannten Täter in Richtung Schleißheimer Straße. Eine sofort eingeleitete Fahndung erbrachte keine Hinweise auf die Täter. Das Kommissariat 13 (Branddelikte) der Münchner Kriminalpolizei führt die Ermittlungen in diesem Fall. Die Täter werden wie folgt beschrieben: Täter 1: Männlich, ca. 18 Jahre alt, ca. 1,80 m groß, südländisches Erscheinungsbild, kurze Haare, bekleidet mit schwarzer Bomberjacke und hellblauer Jeans Täter 2: Männlich, ca. 18 Jahre alt, ca. 1,80 m groß, west-/nordeuropäisches Erscheinungsbild, kurze Haare, bekleidet mit einem grauen Sweatshirt, ärmelloser schwarzer Weste und hellblauer Jeans, trug eine Bauchtasche Zeugenaufruf: Wer hat im angegebenen Zeitraum im Bereich der Theresienstraße (Maxvorstadt) Wahrnehmungen gemacht, die im Zusammenhang mit diesem Vorfall stehen könnten? Personen, die sachdienliche Hinweise geben können, werden gebeten, sich mit dem Polizeipräsidium München, Kommissariat 13, Tel. 089/2910-0, oder jeder anderen Polizeidienststelle in Verbindung zu setzen.",3,1
"Sachbeschädigung durch Brandstiftung; ein Tatverdächtiger festgenommen – Ramersdorf Am Mittwoch, 27.12.2023, gegen 18:45 Uhr, erhielt die Polizei über den Notruf 110 die Mitteilung, dass eine Mülltonne in einem Müllhäuschen vor einem Mehrfamilienhaus im Bereich der Langbürgener Straße brennen würde. Der Mitteiler konnte eine Person sehen, die sich kurz nach dem Brand in der Nähe des Brandortes befand. Die ebenfalls verständigte Berufsfeuerwehr löschte den Brand. Durch eine Streife der Polizeiinspektion 23 (Giesing) konnte aufgrund der vom Zeugen abgegebenen Beschreibung ein 25-Jähriger mit Wohnsitz in München im Umfeld angetroffen und kontrolliert werden. Gegen ihn wird jetzt wegen Sachbeschädigung ermittelt. Der Tatverdächtige wurde nach den polizeilichen Maßnahmen entlassen. Die Schadenshöhe beläuft sich auf mehrere hundert Euro. Die Ermittlungen in diesem Fall führt das Kommissariat 13 (Branddelikte) der Münchner Kriminalpolizei.",16,1
"Einbruch in Lebensmittelgeschäft – Laim Am Mittwoch, 27.12.2023, gegen 04:50 Uhr, bemerkte ein Angestellter eines Lebensmittelgeschäftes, dass in dieses eingebrochen worden war. Er verständigte sofort die Polizei. Nach ersten Ermittlungen gelangten ein oder mehrere unbekannte Täter in das Geschäft, indem sie gewaltsam durch ein Fenster eindrangen. Der oder die unbekannten Täter entwendeten einen im Geschäft befindlichen Standtresor mit Bargeld in Höhe von mehreren tausend Euro. Im Anschluss flüchteten sie unerkannt in unbekannte Richtung. Die weiteren Ermittlungen in diesem Fall führt das Kommissariat 52 (Einbruchsdelikte) der Münchner Kriminalpolizei. Zeugenaufruf: Wer hat im Zeitraum Samstag, 23.12.2023, 20:30 Uhr bis Mittwoch, 27.12.2023, 04:50 Uhr, im Bereich der Joergstraße, Gotthardstraße, Fürstenrieder Straße (Laim) Wahrnehmungen gemacht, die im Zusammenhang mit diesem Vorfall stehen könnten? Personen, die sachdienliche Hinweise geben können, werden gebeten, sich mit dem Polizeipräsidium München, Kommissariat 52, Tel. 089/2910-0, oder jeder anderen Polizeidienststelle in Verbindung zu setzen.",25,2
"Polizeieinsatz aufgrund unklarer Gefahrensituation – Untere Au Am Mittwoch, 27.12.2023, gegen 20:45 Uhr, verständigte eine Passantin im Bereich der Reichenbachbrücke den Notruf der Polizei, nachdem sie beobachten konnte, wie ein Mann mit einer mitgeführten Axt gegen das Brückengelände schlug. Anschließend ging der Mann mit der Axt in Richtung Innenstadt. Eine Streife des Münchner Unterstützungskommandos konnte im Rahmen der Fahndung den Mann antreffen. Die Axt befand sich zu diesem Zeitpunkt im Rucksack des Mannes und wurde präventiv sichergestellt. Bei dem Mann handelt es sich um einen 27-Jährigen mit Wohnsitz im Landkreis München. Aufgrund der Gesamtsituation und des Verhaltens des 27-Jährigen wurde er in einem Krankenhaus mit psychiatrischer Betreuung untergebracht. Bei dem Vorfall wurde niemand verletzt. An der Brücke entstand kein Sachschaden.",5,3
